ID,Дата записи,Время записи,Услуга,Учреждение,Регион,Статус,Возраст ученика,Пол ученика,Канал записи,Дата визита,Явился,Причина отмены,Тип учреждения
97,2024-10-10,03:34,Зачисление в 1 класс,Школа-лицей №5,Алматинская,Записан,8,Ж,Через школу,,Да,,Школа
98,2024-08-19,08:44,Запись в продлёнку,Школа-лицей №8,г. Астана,Отменено,12,Ж,КИОСК,,Нет,Системная ошибка,Школа-лицей
99,2024-06-20,16:41,Запись в продлёнку,Школа-лицей №8,Карагандинская,Обслужен,12,М,Через школу,2024-06-20,Да,,Школа
100,2025-05-25,18:14,Запрос справки,Школа-лицей №5,Карагандинская,Записан,12,М,Через школу,,Да,,Школа
101,2024-09-29,03:14,Перевод из другой школы,Школа-лицей №9,Карагандинская,Обслужен,13,Ж,Веб,2024-09-29,Да,,Школа
102,2025-04-10,09:59,Запрос справки,Школа-лицей №9,г. Алматы,Обслужен,13,Ж,Веб,2025-04-10,Да,,Школа
103,2025-01-02,20:31,Перевод из другой школы,Школа-лицей №3,Карагандинская,Обслужен,14,Ж,Веб,2025-01-02,Да,,Школа
104,2025-05-23,22:05,Зачисление в 1 класс,Школа-лицей №8,г. Астана,Обслужен,8,Ж,КИОСК,2025-05-23,Да,,Гимназия
105,2024-10-12,04:13,Запрос справки,Школа-лицей №7,Туркестанская,Обслужен,9,Ж,Мобильное приложение,2024-10-12,Да,,Школа-лицей
106,2025-01-02,00:52,Перевод из другой школы,Школа-лицей №10,Алматинская,Обслужен,8,М,КИОСК,2025-01-02,Да,,Школа-лицей
107,2024-09-04,20:10,Запрос справки,Школа-лицей №9,Карагандинская,Обслужен,10,Ж,Через школу,2024-09-04,Да,,Школа
108,2024-11-11,07:24,Запись в продлёнку,Школа-лицей №9,Туркестанская,Отменено,14,Ж,Через школу,,Да,Системная ошибка,Гимназия
109,2024-08-20,08:07,Перевод из другой школы,Школа-лицей №10,Туркестанская,Записан,12,М,КИОСК,,Да,,Гимназия
110,2025-04-17,00:17,Запись в продлёнку,Школа-лицей №7,Актюбинская,Обслужен,16,М,Через школу,2025-04-17,Да,,Школа
111,2025-06-10,05:08,Перевод из другой школы,Школа-лицей №9,Алматинская,Отменено,7,Ж,Веб,,Да,По желанию,Гимназия
112,2025-02-06,22:37,Перевод из другой школы,Школа-лицей №7,Актюбинская,Обслужен,7,Ж,КИОСК,2025-02-06,Да,,Школа-лицей
113,2024-12-25,02:19,Запись в продлёнку,Школа-лицей №2,Карагандинская,Обслужен,14,Ж,КИОСК,2024-12-25,Да,,Гимназия
114,2024-08-01,22:27,Запись в продлёнку,Школа-лицей №9,г. Астана,Обслужен,9,Ж,Мобильное приложение,2024-08-01,Да,,Гимназия
115,2025-05-26,11:55,Зачисление в 1 класс,Школа-лицей №7,г. Астана,Обслужен,17,М,Через школу,2025-05-26,Да,,Школа
116,2024-10-16,14:52,Запрос справки,Школа-лицей №1,г. Астана,Отменено,6,Ж,КИОСК,,Да,Отменено учреждением,Школа
117,2024-07-11,21:29,Перевод из другой школы,Школа-лицей №9,Туркестанская,Обслужен,8,М,Мобильное приложение,2024-07-11,Да,,Школа
118,2025-05-25,17:35,Запись в продлёнку,Школа-лицей №10,Актюбинская,Записан,15,М,Мобильное приложение,,Да,,Гимназия
119,2024-07-19,22:16,Запрос справки,Школа-лицей №8,Карагандинская,Обслужен,13,Ж,Мобильное приложение,2024-07-19,Да,,Школа
120,2025-03-30,08:36,Запись в продлёнку,Школа-лицей №6,Алматинская,Записан,12,Ж,Через школу,,Да,,Школа
121,2025-05-01,06:52,Запись в продлёнку,Школа-лицей №8,г. Астана,Записан,15,Ж,КИОСК,,Да,,Школа
122,2025-04-10,11:36,Запись в продлёнку,Школа-лицей №5,г. Астана,Обслужен,16,М,Через школу,2025-04-10,Да,,Школа-лицей
123,2025-04-12,19:04,Перевод из другой школы,Школа-лицей №10,Карагандинская,Записан,9,Ж,Мобильное приложение,,Нет,,Гимназия
124,2024-08-07,04:41,Зачисление в 1 класс,Школа-лицей №5,Туркестанская,Записан,11,М,Веб,,Да,,Школа-лицей
125,2024-12-20,10:37,Запись в продлёнку,Школа-лицей №3,г. Алматы,Записан,14,Ж,КИОСК,,Нет,,Школа-лицей
126,2024-08-22,00:26,Запись в продлёнку,Школа-лицей №5,Актюбинская,Обслужен,7,Ж,Веб,2024-08-22,Да,,Школа
127,2025-01-09,23:21,Перевод из другой школы,Школа-лицей №7,Алматинская,Отменено,12,М,КИОСК,,Нет,Отменено учреждением,Школа-лицей
128,2024-11-30,06:32,Запрос справки,Школа-лицей №10,Туркестанская,Обслужен,11,М,Мобильное приложение,2024-11-30,Да,,Школа-лицей
129,2025-06-14,06:38,Зачисление в 1 класс,Школа-лицей №10,Алматинская,Отменено,15,М,Веб,,Да,Не явился,Гимназия
130,2025-04-08,12:50,Запись в продлёнку,Школа-лицей №2,г. Алматы,Записан,6,Ж,Через школу,,Нет,,Школа
131,2025-03-13,15:17,Перевод из другой школы,Школа-лицей №9,г. Алматы,Отменено,11,Ж,Мобильное приложение,,Да,По желанию,Школа-лицей
132,2025-03-22,18:00,Запись в продлёнку,Школа-лицей №5,г. Астана,Обслужен,9,Ж,Через школу,2025-03-22,Да,,Школа
133,2024-11-20,20:52,Запрос справки,Школа-лицей №2,Актюбинская,Отменено,16,Ж,Веб,,Да,Не явился,Школа
134,2025-02-26,10:00,Зачисление в 1 класс,Школа-лицей №8,г. Астана,Обслужен,16,М,Веб,2025-02-26,Да,,Школа-лицей
135,2024-12-06,10:00,Перевод из другой школы,Школа-лицей №3,Алматинская,Записан,14,М,Мобильное приложение,,Нет,,Школа-лицей
136,2024-12-11,13:48,Перевод из другой школы,Школа-лицей №10,г. Астана,Записан,8,М,КИОСК,,Нет,,Школа
137,2024-09-23,21:11,Зачисление в 1 класс,Школа-лицей №3,г. Астана,Отменено,9,Ж,Веб,,Нет,Не явился,Школа
138,2024-07-13,03:53,Перевод из другой школы,Школа-лицей №7,Алматинская,Записан,7,Ж,Через школу,,Да,,Гимназия
139,2024-06-27,11:49,Зачисление в 1 класс,Школа-лицей №8,Алматинская,Записан,15,М,КИОСК,,Да,,Гимназия
140,2025-01-20,12:47,Зачисление в 1 класс,Школа-лицей №1,Туркестанская,Обслужен,12,М,Через школу,2025-01-20,Да,,Гимназия
141,2025-02-02,12:47,Запись в продлёнку,Школа-лицей №2,г. Астана,Отменено,8,М,Мобильное приложение,,Да,,Гимназия
142,2024-06-21,13:01,Запрос справки,Школа-лицей №7,Алматинская,Обслужен,13,Ж,Веб,2024-06-21,Да,,Гимназия
143,2025-03-20,03:34,Зачисление в 1 класс,Школа-лицей №9,Актюбинская,Обслужен,12,Ж,Мобильное приложение,2025-03-20,Да,,Школа-лицей
144,2024-07-11,09:05,Запрос справки,Школа-лицей №8,Туркестанская,Отменено,7,Ж,Через школу,,Да,Не явился,Школа-лицей
145,2024-07-15,18:33,Перевод из другой школы,Школа-лицей №8,г. Астана,Записан,7,М,Через школу,,Нет,,Гимназия
146,2025-05-18,20:16,Запрос справки,Школа-лицей №3,Алматинская,Записан,14,Ж,Веб,,Да,,Школа-лицей
147,2024-07-16,10:04,Запись в продлёнку,Школа-лицей №1,Карагандинская,Обслужен,11,М,Мобильное приложение,2024-07-16,Да,,Школа
148,2024-09-19,14:09,Запись в продлёнку,Школа-лицей №4,г. Астана,Отменено,14,Ж,Веб,,Да,,Школа
149,2025-03-05,01:01,Запись в продлёнку,Школа-лицей №9,Алматинская,Обслужен,16,М,КИОСК,2025-03-05,Да,,Школа
150,2024-09-10,17:34,Перевод из другой школы,Школа-лицей №5,Актюбинская,Обслужен,11,Ж,Веб,2024-09-10,Да,,Школа
151,2024-08-09,00:36,Перевод из другой школы,Школа-лицей №10,Актюбинская,Отменено,8,М,Веб,,Нет,Отменено учреждением,Школа-лицей
152,2025-06-17,08:28,Запись в продлёнку,Школа-лицей №6,г. Алматы,Отменено,17,Ж,Веб,,Нет,Системная ошибка,Школа
153,2025-01-28,07:15,Зачисление в 1 класс,Школа-лицей №2,Карагандинская,Отменено,12,Ж,Через школу,,Да,Не явился,Школа
154,2024-09-21,19:43,Зачисление в 1 класс,Школа-лицей №6,Туркестанская,Записан,16,Ж,КИОСК,,Нет,,Школа
155,2024-12-19,10:43,Запись в продлёнку,Школа-лицей №10,г. Астана,Записан,10,М,Мобильное приложение,,Да,,Школа-лицей
156,2024-11-24,15:56,Запрос справки,Школа-лицей №2,г. Астана,Отменено,12,М,Мобильное приложение,,Да,,Гимназия
157,2024-07-25,05:28,Перевод из другой школы,Школа-лицей №9,Алматинская,Обслужен,11,М,Через школу,2024-07-25,Да,,Гимназия
158,2025-03-01,20:02,Зачисление в 1 класс,Школа-лицей №7,г. Астана,Отменено,7,Ж,Через школу,,Да,Отменено учреждением,Школа-лицей
159,2024-11-03,02:29,Зачисление в 1 класс,Школа-лицей №7,г. Астана,Обслужен,8,Ж,КИОСК,2024-11-03,Да,,Школа
160,2024-11-25,23:03,Запись в продлёнку,Школа-лицей №2,г. Алматы,Отменено,12,М,Через школу,,Да,Не явился,Школа
161,2025-05-20,06:41,Запрос справки,Школа-лицей №3,г. Астана,Обслужен,7,М,КИОСК,2025-05-20,Да,,Школа-лицей
162,2024-07-10,13:35,Перевод из другой школы,Школа-лицей №4,г. Астана,Записан,9,М,Мобильное приложение,,Нет,,Школа
163,2025-02-27,21:14,Запись в продлёнку,Школа-лицей №8,Алматинская,Обслужен,13,Ж,КИОСК,2025-02-27,Да,,Школа
164,2024-07-27,12:52,Запись в продлёнку,Школа-лицей №2,Туркестанская,Отменено,10,Ж,Веб,,Да,,Школа
165,2024-11-22,20:19,Запрос справки,Школа-лицей №8,Туркестанская,Записан,11,Ж,Веб,,Нет,,Гимназия
166,2024-10-28,20:02,Запись в продлёнку,Школа-лицей №8,Алматинская,Обслужен,17,М,Через школу,2024-10-28,Да,,Гимназия
167,2025-05-19,21:30,Перевод из другой школы,Школа-лицей №6,Алматинская,Отменено,8,М,Через школу,,Нет,Не явился,Гимназия
168,2024-09-23,23:55,Зачисление в 1 класс,Школа-лицей №9,Актюбинская,Записан,9,Ж,Через школу,,Нет,,Школа-лицей
169,2024-08-31,10:54,Запрос справки,Школа-лицей №5,Туркестанская,Отменено,11,М,КИОСК,,Нет,Не явился,Школа
170,2024-12-10,05:59,Запись в продлёнку,Школа-лицей №5,Карагандинская,Обслужен,16,М,КИОСК,2024-12-10,Да,,Школа
171,2024-11-29,14:52,Перевод из другой школы,Школа-лицей №6,Карагандинская,Обслужен,17,Ж,Мобильное приложение,2024-11-29,Да,,Гимназия
172,2024-10-05,16:23,Зачисление в 1 класс,Школа-лицей №5,Алматинская,Отменено,11,М,Веб,,Да,,Школа-лицей
173,2024-09-24,16:50,Зачисление в 1 класс,Школа-лицей №6,Карагандинская,Записан,9,Ж,Через школу,,Нет,,Школа
174,2024-12-08,12:02,Перевод из другой школы,Школа-лицей №3,г. Астана,Записан,7,М,КИОСК,,Нет,,Гимназия
175,2025-05-19,09:50,Запись в продлёнку,Школа-лицей №3,г. Алматы,Записан,17,М,Через школу,,Нет,,Школа-лицей
176,2024-07-27,09:06,Запрос справки,Школа-лицей №4,Туркестанская,Обслужен,17,Ж,Мобильное приложение,2024-07-27,Да,,Гимназия
177,2025-02-27,09:15,Перевод из другой школы,Школа-лицей №5,Туркестанская,Обслужен,9,Ж,Через школу,2025-02-27,Да,,Школа-лицей
178,2025-05-09,19:24,Запрос справки,Школа-лицей №7,Алматинская,Обслужен,8,М,Мобильное приложение,2025-05-09,Да,,Школа-лицей
179,2024-07-25,23:19,Зачисление в 1 класс,Школа-лицей №8,Карагандинская,Обслужен,7,М,КИОСК,2024-07-25,Да,,Школа
180,2025-05-14,05:51,Перевод из другой школы,Школа-лицей №5,Туркестанская,Обслужен,8,Ж,Веб,2025-05-14,Да,,Школа
181,2024-08-22,11:25,Запись в продлёнку,Школа-лицей №6,г. Астана,Отменено,12,Ж,Мобильное приложение,,Да,По желанию,Школа-лицей
182,2024-12-24,05:29,Перевод из другой школы,Школа-лицей №1,Карагандинская,Обслужен,17,Ж,Мобильное приложение,2024-12-24,Да,,Школа
183,2024-09-10,21:50,Зачисление в 1 класс,Школа-лицей №5,Туркестанская,Обслужен,8,Ж,Через школу,2024-09-10,Да,,Гимназия
184,2025-06-04,09:22,Зачисление в 1 класс,Школа-лицей №2,г. Астана,Записан,8,Ж,Веб,,Да,,Школа
185,2024-08-21,10:16,Запрос справки,Школа-лицей №2,г. Астана,Записан,16,Ж,Веб,,Нет,,Школа-лицей
186,2024-06-19,23:38,Зачисление в 1 класс,Школа-лицей №9,Алматинская,Записан,8,Ж,Через школу,,Нет,,Гимназия
187,2024-09-29,04:19,Запрос справки,Школа-лицей №4,Алматинская,Отменено,16,М,КИОСК,,Нет,,Гимназия
188,2025-04-19,07:03,Зачисление в 1 класс,Школа-лицей №7,Туркестанская,Записан,12,Ж,КИОСК,,Нет,,Школа-лицей
189,2024-10-07,21:47,Зачисление в 1 класс,Школа-лицей №6,г. Алматы,Обслужен,16,М,КИОСК,2024-10-07,Да,,Школа
190,2025-03-16,19:23,Зачисление в 1 класс,Школа-лицей №6,Алматинская,Отменено,16,М,Через школу,,Да,Системная ошибка,Школа
191,2025-04-19,16:43,Зачисление в 1 класс,Школа-лицей №8,г. Астана,Записан,6,М,Веб,,Да,,Школа-лицей
192,2025-03-03,03:13,Запись в продлёнку,Школа-лицей №9,Туркестанская,Записан,16,М,КИОСК,,Да,,Школа
193,2024-12-25,11:54,Запрос справки,Школа-лицей №5,г. Астана,Обслужен,12,Ж,Через школу,2024-12-25,Да,,Школа-лицей
194,2024-08-31,17:06,Запрос справки,Школа-лицей №3,Туркестанская,Обслужен,11,Ж,Веб,2024-08-31,Да,,Гимназия
195,2024-09-11,14:38,Запись в продлёнку,Школа-лицей №2,Туркестанская,Обслужен,8,Ж,КИОСК,2024-09-11,Да,,Школа
196,2025-01-29,20:19,Зачисление в 1 класс,Школа-лицей №6,Актюбинская,Записан,13,Ж,Мобильное приложение,,Да,,Школа-лицей
