ID,Дата обращения,Категория,Подкатегория,Регион,Возраст заявителя,Пол,Статус,Дата ответа,Кол-во детей,Возраст старшего ребенка,Ответственный орган,Тип заявителя,Способ подачи,Язык обращения,Повторное обращение,Канал получения ответа,Категория срочности,Вид обращения,Тематика
11,2024-11-26,Социальная защита,Пенсии,Мангистауская,53,Ж,На рассмотрении,2025-01-01,0,,Акимат города,Физическое лицо,Мобильное приложение,Казахский,Да,Телефон,Высокая,Благодарность,Медицина
12,2025-01-15,ЖКХ,Водоснабжение,Алматинская,21,Ж,В работе,2025-02-21,1,9.0,Акимат города,Юридическое лицо,Веб-сайт,Русский,Да,Email,Средняя,Жалоба,Электроснабжение
13,2025-05-12,Труд и занятость,Безработица,г. Астана,21,М,На рассмотрении,2025-06-14,0,,Акимат города,Физическое лицо,Веб-сайт,Русский,Нет,Email,Высокая,Предложение,Образование
14,2024-08-16,Труд и занятость,Безработица,Мангистауская,80,Ж,Рассмотрено,2024-09-14,2,3.0,МОН РК,Юридическое лицо,Почта,Русский,Да,Email,Высокая,Благодарность,Образование
15,2023-08-26,Жилищный вопрос,Снос жилья,г. Астана,31,М,На рассмотрении,2023-09-24,2,24.0,Акимат города,Юридическое лицо,Лично,Русский,Да,Портал,Низкая,Благодарность,Медицина
16,2024-09-20,Образование,Детсады,Карагандинская,79,М,В работе,2024-10-22,1,17.0,Акимат города,Физическое лицо,Веб-сайт,Русский,Да,Портал,Низкая,Благодарность,Социальные пособия
17,2024-05-12,Жилищный вопрос,Аренда,Акмолинская,70,Ж,На рассмотрении,2024-05-26,3,14.0,Министерство здравоохранения,Юридическое лицо,Лично,Казахский,Нет,Бумажное письмо,Высокая,Благодарность,Медицина
18,2023-07-14,Здравоохранение,Доступ к поликлинике,Западно-Казахстанская,62,М,Отклонено,2023-07-20,0,,ЦОН,Физическое лицо,Веб-сайт,Казахский,Да,Email,Высокая,Жалоба,Медицина
19,2023-07-13,Социальная защита,Многодетные семьи,Карагандинская,88,Ж,На рассмотрении,2023-07-30,1,7.0,Министерство здравоохранения,Физическое лицо,Веб-сайт,Русский,Нет,Телефон,Средняя,Предложение,Образование
20,2023-08-31,Жилищный вопрос,Аренда,Северо-Казахстанская,80,Ж,В работе,2023-09-18,4,6.0,Акимат города,Юридическое лицо,Веб-сайт,Русский,Нет,Email,Низкая,Предложение,Электроснабжение
21,2023-12-06,Образование,Школы,Карагандинская,58,Ж,Отклонено,2023-12-24,3,22.0,Министерство труда,Физическое лицо,Почта,Казахский,Да,Телефон,Высокая,Жалоба,Медицина
22,2023-12-17,Социальная защита,Многодетные семьи,Восточно-Казахстанская,40,М,Отклонено,2023-12-22,3,2.0,Министерство труда,Юридическое лицо,Мобильное приложение,Казахский,Да,Телефон,Высокая,Благодарность,Образование
23,2024-07-16,ЖКХ,Водоснабжение,Туркестанская,82,М,На рассмотрении,2024-07-18,4,13.0,Министерство труда,Юридическое лицо,Мобильное приложение,Казахский,Да,Бумажное письмо,Высокая,Благодарность,Электроснабжение
24,2024-09-29,Социальная защита,Многодетные семьи,Акмолинская,44,М,Отклонено,2024-10-14,2,12.0,Акимат города,Физическое лицо,Почта,Русский,Да,Телефон,Средняя,Жалоба,Образование
25,2023-07-10,ЖКХ,Отопление,Актюбинская,68,Ж,Рассмотрено,2023-07-27,0,,Министерство здравоохранения,Физическое лицо,Мобильное приложение,Русский,Нет,Email,Низкая,Вопрос,Социальные пособия
26,2024-08-28,Здравоохранение,Медикаменты,г. Алматы,69,Ж,На рассмотрении,2024-08-31,2,6.0,Акимат города,Юридическое лицо,Мобильное приложение,Русский,Нет,Телефон,Средняя,Предложение,Медицина
27,2023-11-21,Жилищный вопрос,Ипотека,Туркестанская,32,М,Отклонено,2023-12-09,1,6.0,Министерство труда,Юридическое лицо,Почта,Казахский,Да,Email,Средняя,Предложение,Электроснабжение
28,2024-12-27,Социальная защита,Многодетные семьи,Алматинская,76,Ж,Отклонено,2025-01-31,3,20.0,ЦОН,Юридическое лицо,Веб-сайт,Казахский,Да,Телефон,Низкая,Благодарность,Земельный вопрос
29,2024-11-05,ЖКХ,Электричество,Мангистауская,23,М,Отклонено,2024-11-26,1,19.0,МОН РК,Юридическое лицо,Веб-сайт,Казахский,Нет,Email,Высокая,Вопрос,Электроснабжение
30,2024-12-15,Образование,Детсады,Мангистауская,47,Ж,Рассмотрено,2025-01-04,2,24.0,Акимат города,Физическое лицо,Почта,Казахский,Да,Телефон,Средняя,Жалоба,Образование
31,2024-08-16,Жилищный вопрос,Снос жилья,Западно-Казахстанская,79,Ж,В работе,2024-09-19,0,,ЦОН,Юридическое лицо,Почта,Русский,Нет,Портал,Высокая,Жалоба,Образование
32,2024-05-10,Образование,Школы,Карагандинская,44,Ж,Рассмотрено,2024-06-07,3,7.0,ЦОН,Физическое лицо,Мобильное приложение,Русский,Да,Портал,Средняя,Жалоба,Социальные пособия
33,2023-12-08,Здравоохранение,Медикаменты,Мангистауская,44,Ж,В работе,2024-01-12,1,18.0,МОН РК,Юридическое лицо,Мобильное приложение,Русский,Да,Email,Средняя,Предложение,Медицина
34,2024-06-02,Социальная защита,Многодетные семьи,Карагандинская,61,М,В работе,2024-07-04,1,23.0,МОН РК,Физическое лицо,Почта,Казахский,Нет,Бумажное письмо,Высокая,Благодарность,Медицина
35,2024-09-19,Образование,Школы,Северо-Казахстанская,69,Ж,В работе,2024-10-11,3,1.0,ЦОН,Физическое лицо,Лично,Казахский,Да,Телефон,Низкая,Вопрос,Образование
36,2024-01-22,Социальная защита,Пенсии,Акмолинская,20,М,В работе,2024-01-27,1,16.0,Акимат города,Физическое лицо,Мобильное приложение,Русский,Нет,Бумажное письмо,Средняя,Благодарность,Социальные пособия
37,2025-03-09,Жилищный вопрос,Ипотека,Западно-Казахстанская,76,М,В работе,2025-03-25,2,4.0,Министерство здравоохранения,Юридическое лицо,Веб-сайт,Казахский,Нет,Бумажное письмо,Средняя,Предложение,Социальные пособия
38,2025-04-25,Жилищный вопрос,Ипотека,г. Астана,18,Ж,Отклонено,2025-05-24,1,11.0,Акимат города,Юридическое лицо,Мобильное приложение,Казахский,Да,Email,Средняя,Жалоба,Земельный вопрос
39,2023-06-25,Жилищный вопрос,Аренда,г. Астана,49,Ж,В работе,2023-07-13,2,23.0,Министерство труда,Юридическое лицо,Мобильное приложение,Казахский,Нет,Телефон,Средняя,Вопрос,Социальные пособия
40,2025-01-29,Жилищный вопрос,Аренда,Мангистауская,34,М,Отклонено,2025-02-09,2,5.0,Акимат города,Физическое лицо,Веб-сайт,Русский,Да,Портал,Низкая,Жалоба,Электроснабжение
41,2025-03-06,Здравоохранение,Скорая помощь,Северо-Казахстанская,28,М,Рассмотрено,2025-04-14,2,5.0,Министерство труда,Юридическое лицо,Лично,Казахский,Да,Email,Низкая,Вопрос,Земельный вопрос
42,2023-10-22,Образование,ВУЗы,Северо-Казахстанская,20,Ж,В работе,2023-10-26,2,2.0,Министерство здравоохранения,Физическое лицо,Веб-сайт,Русский,Да,Телефон,Высокая,Жалоба,Электроснабжение
43,2024-12-13,Труд и занятость,Охрана труда,Северо-Казахстанская,36,Ж,На рассмотрении,2024-12-24,1,8.0,МОН РК,Юридическое лицо,Веб-сайт,Казахский,Нет,Email,Средняя,Вопрос,Социальные пособия
44,2024-05-13,Здравоохранение,Медикаменты,Восточно-Казахстанская,50,Ж,В работе,2024-05-30,1,7.0,МОН РК,Юридическое лицо,Почта,Казахский,Нет,Портал,Низкая,Вопрос,Социальные пособия
45,2024-03-10,Труд и занятость,Трудовые споры,Северо-Казахстанская,18,Ж,Отклонено,2024-04-02,2,9.0,Министерство здравоохранения,Физическое лицо,Почта,Казахский,Да,Бумажное письмо,Низкая,Вопрос,Образование
46,2024-01-21,Труд и занятость,Трудовые споры,Туркестанская,24,М,Рассмотрено,2024-02-20,3,1.0,Министерство труда,Физическое лицо,Мобильное приложение,Казахский,Нет,Портал,Высокая,Благодарность,Социальные пособия
47,2023-10-18,Социальная защита,Пособия,Карагандинская,18,Ж,Рассмотрено,2023-11-18,0,,Министерство здравоохранения,Юридическое лицо,Лично,Казахский,Нет,Бумажное письмо,Высокая,Вопрос,Образование
48,2023-12-04,Образование,Детсады,Карагандинская,29,М,Рассмотрено,2024-01-12,2,8.0,ЦОН,Юридическое лицо,Веб-сайт,Русский,Да,Портал,Высокая,Благодарность,Образование
49,2025-02-02,Труд и занятость,Охрана труда,г. Алматы,36,М,Отклонено,2025-02-06,5,7.0,Министерство труда,Физическое лицо,Лично,Русский,Нет,Email,Высокая,Предложение,Образование
50,2024-03-07,Труд и занятость,Охрана труда,Мангистауская,53,М,В работе,2024-03-12,2,24.0,Министерство здравоохранения,Физическое лицо,Веб-сайт,Казахский,Нет,Бумажное письмо,Средняя,Вопрос,Медицина
51,2023-09-07,Жилищный вопрос,Аренда,г. Алматы,42,Ж,В работе,2023-10-14,0,,МОН РК,Физическое лицо,Веб-сайт,Русский,Да,Телефон,Низкая,Предложение,Земельный вопрос
52,2023-08-31,Труд и занятость,Трудовые споры,Западно-Казахстанская,83,М,В работе,2023-09-08,2,0.0,Акимат города,Юридическое лицо,Почта,Казахский,Нет,Телефон,Высокая,Жалоба,Электроснабжение
53,2024-04-10,ЖКХ,Отопление,Туркестанская,85,М,Рассмотрено,2024-05-12,1,19.0,Министерство здравоохранения,Физическое лицо,Мобильное приложение,Русский,Да,Email,Средняя,Благодарность,Электроснабжение
54,2023-09-03,Социальная защита,Пенсии,Туркестанская,25,Ж,В работе,2023-09-22,3,18.0,Акимат города,Физическое лицо,Мобильное приложение,Казахский,Да,Бумажное письмо,Низкая,Предложение,Медицина
55,2024-03-24,Социальная защита,Пенсии,Акмолинская,39,Ж,Отклонено,2024-03-31,2,21.0,ЦОН,Юридическое лицо,Веб-сайт,Казахский,Нет,Бумажное письмо,Средняя,Благодарность,Социальные пособия
56,2025-04-08,Социальная защита,Пособия,Мангистауская,25,Ж,Отклонено,2025-05-10,3,0.0,ЦОН,Физическое лицо,Веб-сайт,Русский,Да,Телефон,Высокая,Жалоба,Медицина
57,2024-03-13,ЖКХ,Водоснабжение,Туркестанская,86,М,В работе,2024-03-25,1,3.0,Министерство здравоохранения,Юридическое лицо,Веб-сайт,Казахский,Нет,Бумажное письмо,Средняя,Вопрос,Земельный вопрос
58,2024-09-30,Жилищный вопрос,Снос жилья,Жамбылская,52,Ж,В работе,2024-11-03,1,11.0,Министерство труда,Физическое лицо,Почта,Русский,Нет,Телефон,Средняя,Жалоба,Социальные пособия
59,2024-01-11,ЖКХ,Электричество,Жамбылская,47,Ж,На рассмотрении,2024-01-21,3,23.0,Министерство здравоохранения,Физическое лицо,Лично,Казахский,Нет,Email,Низкая,Вопрос,Электроснабжение
60,2025-03-07,Жилищный вопрос,Снос жилья,Жамбылская,63,М,На рассмотрении,2025-04-07,4,22.0,Министерство труда,Физическое лицо,Мобильное приложение,Казахский,Да,Бумажное письмо,Низкая,Предложение,Земельный вопрос
61,2023-07-23,ЖКХ,Отопление,Жамбылская,50,Ж,Отклонено,2023-08-06,1,24.0,ЦОН,Юридическое лицо,Почта,Казахский,Да,Бумажное письмо,Высокая,Предложение,Социальные пособия
62,2025-01-06,Труд и занятость,Трудовые споры,Акмолинская,71,М,Отклонено,2025-02-14,2,14.0,МОН РК,Юридическое лицо,Лично,Казахский,Да,Телефон,Высокая,Вопрос,Электроснабжение
63,2024-06-10,Здравоохранение,Скорая помощь,Восточно-Казахстанская,40,Ж,Отклонено,2024-07-06,0,,Акимат города,Юридическое лицо,Почта,Казахский,Нет,Портал,Высокая,Предложение,Электроснабжение
64,2024-08-09,Жилищный вопрос,Аренда,Актюбинская,44,Ж,В работе,2024-09-08,1,7.0,Министерство труда,Юридическое лицо,Мобильное приложение,Казахский,Да,Портал,Высокая,Вопрос,Земельный вопрос
65,2023-09-24,Труд и занятость,Охрана труда,г. Астана,50,М,В работе,2023-10-17,0,,ЦОН,Физическое лицо,Веб-сайт,Казахский,Нет,Телефон,Высокая,Благодарность,Земельный вопрос
66,2025-06-05,Жилищный вопрос,Ипотека,Северо-Казахстанская,65,Ж,На рассмотрении,2025-07-05,1,2.0,Акимат города,Физическое лицо,Мобильное приложение,Казахский,Да,Email,Средняя,Жалоба,Земельный вопрос
67,2024-04-09,ЖКХ,Водоснабжение,г. Астана,67,М,Отклонено,2024-05-07,3,12.0,ЦОН,Физическое лицо,Лично,Казахский,Нет,Бумажное письмо,Низкая,Предложение,Электроснабжение
68,2023-08-20,ЖКХ,Отопление,Акмолинская,37,М,На рассмотрении,2023-09-07,4,1.0,Министерство труда,Юридическое лицо,Мобильное приложение,Казахский,Да,Портал,Средняя,Вопрос,Социальные пособия
69,2024-08-21,Жилищный вопрос,Ипотека,Северо-Казахстанская,83,М,На рассмотрении,2024-09-16,2,21.0,МОН РК,Юридическое лицо,Лично,Казахский,Нет,Телефон,Средняя,Вопрос,Медицина
70,2024-02-02,Социальная защита,Пенсии,Алматинская,75,Ж,Отклонено,2024-03-06,1,9.0,Министерство здравоохранения,Юридическое лицо,Веб-сайт,Казахский,Нет,Email,Высокая,Жалоба,Электроснабжение
71,2025-03-25,Здравоохранение,Медикаменты,Актюбинская,87,М,Рассмотрено,2025-04-19,1,4.0,Акимат города,Юридическое лицо,Мобильное приложение,Русский,Да,Телефон,Средняя,Жалоба,Электроснабжение
72,2024-10-20,Социальная защита,Пособия,Актюбинская,25,Ж,Рассмотрено,2024-11-12,1,4.0,Министерство труда,Физическое лицо,Мобильное приложение,Казахский,Нет,Портал,Средняя,Благодарность,Образование
73,2024-10-12,Жилищный вопрос,Аренда,Акмолинская,85,М,В работе,2024-11-06,1,14.0,Министерство здравоохранения,Юридическое лицо,Веб-сайт,Казахский,Да,Телефон,Высокая,Жалоба,Социальные пособия
74,2025-05-07,Труд и занятость,Охрана труда,Северо-Казахстанская,72,Ж,На рассмотрении,2025-05-28,0,,МОН РК,Физическое лицо,Почта,Русский,Нет,Портал,Высокая,Жалоба,Социальные пособия
75,2025-04-19,Социальная защита,Пенсии,г. Астана,33,М,Отклонено,2025-05-25,2,16.0,МОН РК,Юридическое лицо,Веб-сайт,Русский,Да,Портал,Средняя,Благодарность,Образование
76,2024-03-26,Труд и занятость,Трудовые споры,Мангистауская,80,М,В работе,2024-04-25,2,20.0,МОН РК,Физическое лицо,Почта,Казахский,Нет,Email,Высокая,Вопрос,Медицина
77,2024-09-10,Здравоохранение,Скорая помощь,г. Алматы,79,Ж,Отклонено,2024-10-20,3,0.0,Министерство труда,Физическое лицо,Почта,Казахский,Да,Email,Средняя,Жалоба,Медицина
78,2023-11-16,Социальная защита,Пособия,Карагандинская,51,М,Рассмотрено,2023-11-27,1,24.0,Акимат города,Физическое лицо,Мобильное приложение,Русский,Да,Телефон,Низкая,Жалоба,Образование
79,2024-12-18,Труд и занятость,Охрана труда,Акмолинская,18,М,На рассмотрении,2024-12-23,4,11.0,Акимат города,Физическое лицо,Веб-сайт,Казахский,Да,Телефон,Низкая,Предложение,Образование
80,2023-08-13,ЖКХ,Водоснабжение,Восточно-Казахстанская,43,М,На рассмотрении,2023-08-17,2,13.0,ЦОН,Юридическое лицо,Почта,Казахский,Да,Бумажное письмо,Высокая,Предложение,Электроснабжение
81,2023-07-25,Образование,Детсады,Северо-Казахстанская,86,М,На рассмотрении,2023-08-01,0,,Министерство здравоохранения,Юридическое лицо,Почта,Казахский,Да,Бумажное письмо,Высокая,Благодарность,Земельный вопрос
82,2024-11-14,Труд и занятость,Безработица,г. Алматы,79,М,Отклонено,2024-11-29,2,15.0,МОН РК,Юридическое лицо,Почта,Казахский,Нет,Бумажное письмо,Низкая,Жалоба,Электроснабжение
83,2023-12-14,Жилищный вопрос,Аренда,Алматинская,56,Ж,В работе,2023-12-25,1,4.0,МОН РК,Юридическое лицо,Почта,Русский,Нет,Бумажное письмо,Средняя,Вопрос,Образование
84,2025-02-09,Социальная защита,Пенсии,г. Алматы,40,М,В работе,2025-03-05,0,,МОН РК,Физическое лицо,Лично,Русский,Да,Телефон,Высокая,Жалоба,Социальные пособия
85,2024-01-30,ЖКХ,Отопление,Туркестанская,86,Ж,Отклонено,2024-02-24,2,18.0,Министерство труда,Физическое лицо,Мобильное приложение,Русский,Нет,Портал,Низкая,Вопрос,Электроснабжение
86,2023-08-20,Образование,ВУЗы,Карагандинская,75,Ж,На рассмотрении,2023-09-02,2,15.0,Акимат города,Юридическое лицо,Веб-сайт,Русский,Нет,Телефон,Средняя,Вопрос,Земельный вопрос
87,2025-04-14,Труд и занятость,Трудовые споры,Алматинская,41,М,Рассмотрено,2025-05-09,6,0.0,Министерство здравоохранения,Физическое лицо,Веб-сайт,Русский,Нет,Бумажное письмо,Средняя,Вопрос,Медицина
88,2023-12-17,ЖКХ,Водоснабжение,Западно-Казахстанская,50,М,На рассмотрении,2024-01-26,4,10.0,МОН РК,Физическое лицо,Мобильное приложение,Русский,Да,Телефон,Средняя,Благодарность,Социальные пособия
89,2025-04-23,Жилищный вопрос,Ипотека,Карагандинская,61,М,Отклонено,2025-06-02,1,13.0,Министерство труда,Юридическое лицо,Веб-сайт,Казахский,Нет,Телефон,Низкая,Предложение,Социальные пособия
90,2023-09-06,Социальная защита,Пенсии,Туркестанская,19,М,Рассмотрено,2023-09-16,0,,МОН РК,Юридическое лицо,Лично,Казахский,Да,Email,Средняя,Благодарность,Медицина
91,2024-04-10,Труд и занятость,Трудовые споры,Карагандинская,52,Ж,На рассмотрении,2024-05-09,1,9.0,ЦОН,Юридическое лицо,Веб-сайт,Казахский,Да,Бумажное письмо,Низкая,Вопрос,Электроснабжение
92,2024-01-21,Жилищный вопрос,Снос жилья,Северо-Казахстанская,51,Ж,Отклонено,2024-01-28,1,20.0,МОН РК,Физическое лицо,Почта,Русский,Нет,Портал,Высокая,Благодарность,Образование
93,2024-06-06,Социальная защита,Пенсии,Алматинская,46,Ж,На рассмотрении,2024-06-15,0,,ЦОН,Юридическое лицо,Лично,Казахский,Да,Телефон,Низкая,Жалоба,Электроснабжение
94,2024-10-25,Труд и занятость,Безработица,Актюбинская,38,Ж,Рассмотрено,2024-11-07,3,2.0,МОН РК,Физическое лицо,Веб-сайт,Русский,Нет,Портал,Низкая,Предложение,Земельный вопрос
95,2025-03-28,Жилищный вопрос,Снос жилья,Западно-Казахстанская,66,Ж,Отклонено,2025-05-06,1,16.0,Министерство труда,Юридическое лицо,Мобильное приложение,Казахский,Да,Бумажное письмо,Средняя,Вопрос,Образование
96,2024-03-29,Образование,ВУЗы,г. Алматы,41,Ж,В работе,2024-05-08,2,22.0,ЦОН,Юридическое лицо,Веб-сайт,Русский,Нет,Телефон,Низкая,Жалоба,Электроснабжение
97,2023-10-24,Жилищный вопрос,Ипотека,Западно-Казахстанская,30,М,В работе,2023-10-31,1,16.0,ЦОН,Физическое лицо,Лично,Казахский,Да,Email,Средняя,Жалоба,Образование
98,2024-04-02,ЖКХ,Отопление,г. Астана,79,М,В работе,2024-05-12,1,12.0,Министерство труда,Юридическое лицо,Мобильное приложение,Казахский,Нет,Телефон,Средняя,Благодарность,Образование
99,2024-03-21,ЖКХ,Электричество,Актюбинская,76,М,Отклонено,2024-04-01,0,,Министерство здравоохранения,Физическое лицо,Почта,Казахский,Нет,Портал,Средняя,Жалоба,Электроснабжение
100,2023-11-29,Образование,ВУЗы,Мангистауская,29,Ж,Рассмотрено,2024-01-02,4,19.0,Министерство здравоохранения,Физическое лицо,Лично,Казахский,Нет,Портал,Высокая,Жалоба,Социальные пособия
101,2024-11-21,Социальная защита,Пособия,Туркестанская,33,М,Рассмотрено,2024-11-29,1,24.0,ЦОН,Юридическое лицо,Почта,Русский,Да,Портал,Низкая,Жалоба,Образование
102,2024-01-13,Труд и занятость,Трудовые споры,Восточно-Казахстанская,69,М,Отклонено,2024-01-17,4,9.0,МОН РК,Физическое лицо,Почта,Русский,Да,Портал,Высокая,Предложение,Социальные пособия
103,2024-12-16,Образование,ВУЗы,Мангистауская,75,М,В работе,2025-01-23,0,,МОН РК,Юридическое лицо,Почта,Русский,Да,Телефон,Средняя,Предложение,Образование
104,2025-06-16,Жилищный вопрос,Ипотека,Алматинская,22,Ж,Рассмотрено,2025-06-25,4,11.0,Министерство здравоохранения,Физическое лицо,Мобильное приложение,Казахский,Да,Бумажное письмо,Средняя,Жалоба,Электроснабжение
105,2024-12-01,Социальная защита,Пенсии,Туркестанская,34,Ж,Рассмотрено,2024-12-28,0,,ЦОН,Юридическое лицо,Веб-сайт,Русский,Нет,Телефон,Низкая,Благодарность,Земельный вопрос
106,2024-11-04,Образование,Школы,Алматинская,24,М,Отклонено,2024-11-24,1,8.0,МОН РК,Физическое лицо,Веб-сайт,Казахский,Да,Телефон,Низкая,Предложение,Земельный вопрос
107,2023-08-14,ЖКХ,Отопление,Мангистауская,67,Ж,В работе,2023-09-03,1,4.0,Акимат города,Физическое лицо,Веб-сайт,Русский,Нет,Портал,Низкая,Благодарность,Земельный вопрос
108,2024-10-05,Образование,Школы,г. Астана,55,М,В работе,2024-10-25,2,19.0,МОН РК,Юридическое лицо,Веб-сайт,Русский,Нет,Email,Высокая,Предложение,Медицина
109,2024-10-25,Социальная защита,Многодетные семьи,Актюбинская,34,М,В работе,2024-11-20,4,11.0,Министерство здравоохранения,Физическое лицо,Веб-сайт,Казахский,Да,Email,Средняя,Благодарность,Земельный вопрос
110,2023-10-30,Образование,ВУЗы,г. Астана,71,Ж,На рассмотрении,2023-11-22,1,18.0,Акимат города,Юридическое лицо,Мобильное приложение,Русский,Нет,Портал,Низкая,Вопрос,Электроснабжение
111,2024-08-07,ЖКХ,Водоснабжение,Мангистауская,56,Ж,Рассмотрено,2024-08-11,1,17.0,Министерство здравоохранения,Физическое лицо,Веб-сайт,Казахский,Да,Телефон,Низкая,Жалоба,Медицина
112,2025-01-06,Образование,ВУЗы,Алматинская,75,Ж,Отклонено,2025-01-15,5,24.0,Министерство здравоохранения,Физическое лицо,Мобильное приложение,Казахский,Нет,Email,Высокая,Вопрос,Образование
113,2023-12-27,Жилищный вопрос,Ипотека,Мангистауская,80,Ж,В работе,2024-01-25,1,0.0,Министерство труда,Юридическое лицо,Мобильное приложение,Казахский,Нет,Телефон,Высокая,Вопрос,Земельный вопрос
114,2023-10-24,Жилищный вопрос,Снос жилья,Акмолинская,55,Ж,Отклонено,2023-11-23,3,14.0,Министерство здравоохранения,Физическое лицо,Веб-сайт,Казахский,Нет,Телефон,Средняя,Благодарность,Медицина
115,2024-06-13,Жилищный вопрос,Аренда,Мангистауская,38,Ж,В работе,2024-06-24,0,,ЦОН,Юридическое лицо,Веб-сайт,Русский,Нет,Телефон,Высокая,Предложение,Земельный вопрос
116,2024-04-09,ЖКХ,Водоснабжение,г. Астана,53,М,На рассмотрении,2024-05-04,3,13.0,Министерство здравоохранения,Физическое лицо,Лично,Казахский,Нет,Email,Высокая,Предложение,Социальные пособия
117,2024-01-15,Жилищный вопрос,Аренда,Западно-Казахстанская,32,М,Отклонено,2024-02-19,2,15.0,МОН РК,Юридическое лицо,Лично,Казахский,Да,Email,Низкая,Предложение,Социальные пособия
118,2025-06-07,Труд и занятость,Безработица,Туркестанская,74,Ж,В работе,2025-06-20,2,5.0,МОН РК,Физическое лицо,Лично,Казахский,Да,Email,Низкая,Жалоба,Социальные пособия
119,2024-10-29,Социальная защита,Многодетные семьи,Актюбинская,41,Ж,На рассмотрении,2024-11-12,1,3.0,Акимат города,Юридическое лицо,Лично,Русский,Да,Телефон,Высокая,Предложение,Земельный вопрос
120,2024-12-05,Здравоохранение,Скорая помощь,г. Астана,25,Ж,Отклонено,2025-01-02,1,4.0,МОН РК,Юридическое лицо,Мобильное приложение,Русский,Да,Телефон,Средняя,Благодарность,Электроснабжение
121,2024-08-25,Труд и занятость,Безработица,Акмолинская,58,Ж,На рассмотрении,2024-08-30,1,16.0,Министерство труда,Юридическое лицо,Почта,Казахский,Да,Портал,Низкая,Благодарность,Электроснабжение
122,2023-12-07,Труд и занятость,Безработица,Туркестанская,50,М,Рассмотрено,2023-12-26,2,12.0,Акимат города,Юридическое лицо,Мобильное приложение,Казахский,Нет,Email,Средняя,Предложение,Электроснабжение
123,2024-12-02,ЖКХ,Водоснабжение,Западно-Казахстанская,63,М,Рассмотрено,2024-12-20,0,,Акимат города,Физическое лицо,Мобильное приложение,Казахский,Да,Email,Низкая,Жалоба,Электроснабжение
124,2024-02-26,Труд и занятость,Охрана труда,Западно-Казахстанская,23,М,В работе,2024-03-02,3,23.0,Акимат города,Юридическое лицо,Лично,Казахский,Да,Бумажное письмо,Средняя,Благодарность,Земельный вопрос
125,2025-04-04,Жилищный вопрос,Ипотека,Жамбылская,47,Ж,Рассмотрено,2025-05-08,1,22.0,ЦОН,Юридическое лицо,Мобильное приложение,Казахский,Нет,Телефон,Средняя,Предложение,Образование
126,2025-02-05,Социальная защита,Пособия,Карагандинская,50,Ж,На рассмотрении,2025-03-05,3,24.0,Акимат города,Юридическое лицо,Почта,Русский,Да,Email,Низкая,Вопрос,Социальные пособия
127,2025-02-11,Здравоохранение,Скорая помощь,Западно-Казахстанская,76,Ж,Рассмотрено,2025-03-10,3,0.0,ЦОН,Физическое лицо,Почта,Казахский,Нет,Телефон,Средняя,Жалоба,Земельный вопрос
